total_transactions,unique_assets,unique_actions,total_volume,avg_transaction_size,account_age_days,transactions_per_day,repayment_ratio,borrow_count,repay_count,frequency_consistency,avg_days_between_transactions,total_deposits,total_borrows,utilization_ratio,healthy_utilization_score,deposit_count,deposit_to_borrow_ratio,asset_diversity_score,action_diversity_score,hour_pattern_consistency,day_variety_score,weekend_activity_ratio,liquidation_count,liquidation_volume,was_liquidated,recent_activity_ratio,risk_score,amount_variability,round_number_ratio,transaction_regularity,bot_like_score,wallet,reliability_score,utilization_score,longevity_score,diversity_score,liquidation_risk_score,bot_behavior_score,volume_consistency_score,credit_score,score_category
1,1,1,1.064772,1.064772,1,1.0,0.0,0,0,0.0,0.0,1.064772,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x000660cad76200a2e326f53e033919905e6c50f5,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
1,1,1,1300000000000.0,1300000000000.0,1,1.0,0.0,0,0,0.0,0.0,1300000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
2,1,1,3000000000000.0,1500000000000.0,10,0.2,0.0,0,0,1.0,9.988402777777777,3000000000000.0,0.0,0.0,1.0,2,2.0,0.5,0.2,1.0,0.2857142857142857,0.0,0,0,0,1.0,0.0,0.4714045207910317,1.0,0.0,0.0,0x00080000158a9930aeb508823103b0a977161c47,0.5001159722222223,1.0,0.032438356164383564,0.38,1.0,1.0,0.6571909584179366,650.75429440111,Fair (Elevated Risk)
2,1,1,4712595639.187231,2356297819.5936155,8,0.25,0.0,0,0,1.0,7.811921296296297,4712595639.187231,0.0,0.0,1.0,2,2.0,0.5,0.2,0.7053721745056052,0.2857142857142857,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x00099b1263c22ae2ce0a52624cef2a012e751970,0.521880787037037,1.0,0.03315068493150685,0.38,1.0,1.0,0.0,623.4427994989853,Fair (Elevated Risk)
1,1,1,41000000000.0,41000000000.0,1,1.0,0.0,0,0,0.0,0.0,41000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x0009ce45d5df78e632a0b4987079432dfba2253a,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
12,2,4,873.3587650000002,72.77989708333335,34,0.35294117647058826,1.0005142125000002,2,2,0.2799177001769043,3.016917087534722,276.526904,160.0,0.5786055450141662,1.0,4,2.0,0.16666666666666666,0.8,0.8082345445629221,0.5714285714285714,0.5,0,0,0,0.08333333333333333,0.0,0.6829345840331117,0.25,0.0,0.0,0x000a27ba176083e4b50177378cbe7469a00dd557,0.7538061391777241,1.0,0.08412570507655118,0.42000000000000004,1.0,1.0,0.2341308319337766,704.7769321526026,Good (Moderate Risk)
43,5,4,5.204052395703801e+16,1210244743186930.5,26,1.6538461538461537,2.78856788130583e-10,8,5,0.0,0.6169849537037037,1.9281445079779704e+16,48000000013383.27,0.002489439967532334,1.0,18,2.25,0.11627906976744186,0.8,0.6339954466304549,0.7142857142857143,0.023255813953488372,0,0,0,1.0,0.0,1.0,0.5116279069767442,0.0,0.0,0x000a3d1bef684a7c029267a26068de56b1c1b4dc,0.2938301505745057,1.0,0.17504741833508958,0.3897674418604652,1.0,1.0,0.0,588.6913945799364,Poor (High Risk)
2,1,2,110000000000.0,55000000000.0,1,2.0,0.0,1,0,0.0,0.0005092592592592592,100000000000.0,10000000000.0,0.1,1.0,1,1.0,0.5,0.4,1.0,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x000ab43e658935ba39504a1424b01756c1e9644c,0.2999949074074074,1.0,0.16164383561643839,0.46,1.0,1.0,0.0,595.2453021943176,Poor (High Risk)
77,8,2,390905196192656.2,5076690859644.886,124,0.6209677419354839,0.0,0,0,0.3981877958840909,1.621951754375,220021394145923.72,0.0,0.0,1.0,49,49.0,0.1038961038961039,0.4,0.43089730583184227,1.0,0.23376623376623376,0,0,0,0.06493506493506493,0.0,1.0,0.4025974025974026,0.0,0.0,0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,0.40323682122147725,1.0,0.25351303579319484,0.22233766233766236,1.0,1.0,0.0,611.0699269081147,Fair (Elevated Risk)
4,2,4,3.4712e+16,8678000000000000.0,1,4.0,1.0,1,1,0.0,0.0002314814814814815,1.5e+16,2356000000000000.0,0.15706666666666666,1.0,1,1.0,0.5,0.8,1.0,0.14285714285714285,0.0,0,0,0,1.0,0.0,0.8412095878812662,1.0,0.8267949192431123,0.8960769515458674,0x000c8e2871750f458bf1de8ab528dda09bc95db6,0.6999976851851852,1.0,0.32164383561643844,0.6200000000000001,1.0,0.10392304845413258,0.0,645.6383014841754,Fair (Elevated Risk)
71,4,4,137652692402.22406,1938770315.5242825,67,1.0597014925373134,0.9490384531410917,20,17,0.33509114816254726,0.9449138558101853,71324576292.92883,971.0,1.3613820795964064e-08,1.0,20,1.0,0.056338028169014086,0.8,0.3623409225623172,1.0,0.18309859154929578,0,0,0,0.6197183098591549,0.0,1.0,0.4225352112676056,0.0,0.0,0x000cdb5d7a2cda2947603f2993f05db57e3197dc,0.770693587147099,1.0,0.19491310570435494,0.3538028169014085,1.0,1.0,0.0,707.2906443325688,Good (Moderate Risk)
6,2,3,200272000000080.1,33378666666680.016,31,0.1935483870967742,1.00270375,1,1,0.1339745962155614,6.132851851851852,200272000000000.0,40.0,1.9972836941759207e-13,1.0,4,4.0,0.3333333333333333,0.6,0.2894642084235931,0.42857142857142855,0.6666666666666666,0,0,0,0.3333333333333333,0.0,0.7746030988364011,0.8333333333333334,0.0,0.0,0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,0.6788638603461499,1.0,0.06644277507733097,0.43999999999999995,1.0,1.0,0.05079380232719777,676.2220714644969,Fair (Elevated Risk)
1,1,1,1000000000.0,1000000000.0,1,1.0,0.0,0,0,0.0,0.0,1000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
1,1,1,100000000000.0,100000000000.0,1,1.0,0.0,0,0,0.0,0.0,100000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
8,3,4,282569021219.354,35321127652.41925,81,0.09876543209876543,0.5709792707622298,3,2,0.42264973081037427,11.510142195763889,282569019336.3728,879.0,3.1107444194143245e-09,1.0,1,0.3333333333333333,0.375,0.8,0.32043723207082964,0.5714285714285714,0.375,0,0,0,0.375,0.0,1.0,0.375,0.0,0.0,0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,0.5400852055903653,1.0,0.14105191949940807,0.545,1.0,1.0,0.0,660.6790893225025,Fair (Elevated Risk)
8,2,2,3192625413161.585,399078176645.1981,21,0.38095238095238093,0.0,0,0,0.6692810861169262,2.9025975529050925,2132617238514.029,0.0,0.0,1.0,6,6.0,0.25,0.4,0.5637063115977008,0.7142857142857143,0.125,0,0,0,1.0,0.0,1.0,0.125,0.0,0.0,0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,0.471758350306027,1.0,0.06499673842139594,0.31000000000000005,1.0,1.0,0.0,608.6890983397162,Fair (Elevated Risk)
10,2,4,383708442045496.4,38370844204549.64,27,0.37037037037037035,1.00064274996704,2,2,0.0,2.9217926954629627,383708442044795.1,216.90860700000002,5.652953733415059e-13,1.0,5,2.5,0.2,0.8,0.6441624382244473,0.5714285714285714,0.0,0,0,0,1.0,0.0,1.0,0.3,0.0,0.0,0x000e840a3122ec28d0c29321db172375cb049762,0.6707820730453704,1.0,0.07401319127346526,0.44000000000000006,1.0,1.0,0.0,672.7974969523625,Fair (Elevated Risk)
22,3,4,18225311980969.508,828423271862.2504,2,11.0,1.0000648285714284,6,4,0.09204616566190083,0.09397486771990742,18112655988098.61,35.0,1.932350508009298e-12,1.0,8,1.3333333333333333,0.13636363636363635,0.8,0.7778228761490635,0.42857142857142855,0.13636363636363635,0,0,0,1.0,0.0,1.0,0.45454545454545453,0.0,0.0,0x000e9bd1d42999446d60ff60f1fb3afb13604202,0.7266741010213712,1.0,0.40328767123287673,0.40181818181818185,1.0,1.0,0.0,732.3434941220925,Good (Moderate Risk)
1,1,1,1200000000000.0,1200000000000.0,1,1.0,0.0,0,0,0.0,0.0,1200000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x000eab293e332bd6e67018a9150e8807bfac3233,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
2,2,2,112092343527428.52,56046171763714.26,16,0.125,0.0,0,0,1.0,15.675266203703703,56000000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.4,0.5285954792089682,0.2857142857142857,0.0,0,0,0,1.0,0.0,0.0011650525341619165,0.5,0.0,0.0,0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,0.44324733796296295,1.0,0.0363013698630137,0.76,1.0,1.0,0.4023301050683239,662.373545223609,Fair (Elevated Risk)
25,4,4,916672306686400.8,36666892267456.03,19,1.3157894736842106,1.0008136939204546,6,3,0.586623658151558,0.7560127314814815,9284729019012.137,17600.0,1.895585747732741e-09,1.0,7,1.1666666666666667,0.16,0.8,0.3097571549192376,0.7142857142857143,0.0,0,0,0,1.0,0.0,1.0,0.36,0.0,0.0,0x000f4432a40560bbff1b581a8b7aded8dab80026,0.8684269701306526,1.0,0.13649603460706564,0.41600000000000004,1.0,1.0,0.0,729.181147723723,Good (Moderate Risk)
73,5,4,1.50210180878499e+20,2.0576737106643697e+18,3,24.333333333333332,1.0001664844520408,19,13,0.6181545242529767,0.03926392103009259,4.082632353527151e+19,3.4310340193421263e+19,0.840397499024843,0.7980125048757855,26,1.368421052631579,0.0684931506849315,0.8,0.31608631455483793,0.42857142857142855,0.4794520547945205,0,0,0,1.0,0.0,1.0,0.7534246575342466,0.0,0.0,0x000f7f22bfc28d940d4b68e13213ab17cf107790,0.8850537180655921,0.7980125048757855,0.4049315068493151,0.36109589041095896,1.0,1.0,0.0,727.7152455600483,Good (Moderate Risk)
